employee_id,gender,nationality,age,service_year,age_group,service_year_group
05100454,Female,Windport,38,12,30-39,11-20
05101515,Female,Windport,58,20,50-59,11-20
05102902,Female,Windport,50,16,50-59,11-20
05107330,Male,Windport,53,20,50-59,11-20
05108128,Female,Windport,54,20,50-59,11-20
05109204,Female,Windport,51,12,50-59,11-20
05110021,Female,Windport,20,1,20-29,00-03
05110940,Female,Windport,32,6,30-39,06-10
05114441,Male,Windport,25,3,20-29,00-03
05116882,Male,Windport,57,13,50-59,11-20
05117750,Male,Frostlands,42,0,40-49,00-03
05118810,Male,Earthgate,37,2,30-39,00-03
05120475,Male,Windport,19,0,20 below,00-03
05123755,Female,Windport,53,14,50-59,11-20
05125119,Female,Flowerfield,48,16,40-49,11-20
05125391,Male,Skyloft,50,11,50-59,11-20
05128141,Male,Windport,19,1,20 below,00-03
05132831,Female,Windport,21,1,20-29,00-03
05133918,Male,Windport,41,4,40-49,04-05
05135604,Female,Windport,37,4,30-39,04-05
05137976,Male,Windport,25,2,20-29,00-03
05138352,Female,Windport,26,6,20-29,06-10
05140948,Male,Windport,39,14,30-39,11-20
05141932,Female,Rainbowbay,53,18,50-59,11-20
05144533,Male,Windport,58,1,50-59,00-03
05145671,Female,Windport,20,1,20-29,00-03
05155554,Female,Windport,53,20,50-59,11-20
05159639,Male,Windport,29,3,20-29,00-03
05160311,Male,Skyloft,29,0,20-29,00-03
05161196,Female,Windport,33,14,30-39,11-20
05163118,Female,Windport,57,20,50-59,11-20
05164065,Female,Windport,60,22,60-69,21-30
05164908,Male,Windport,39,3,30-39,00-03
05173887,Female,Windport,45,17,40-49,11-20
05178130,Male,Searock,30,1,30-39,00-03
05179114,Female,Windport,29,1,20-29,00-03
05183235,Female,Windport,28,2,20-29,00-03
05187625,Male,Windport,23,2,20-29,00-03
05190605,Female,Searock,40,2,40-49,00-03
05192661,Female,Silverstream,22,1,20-29,00-03
05192796,Male,Windport,44,11,40-49,11-20
05194452,Female,Windport,56,11,50-59,11-20
05196068,Male,Windport,33,12,30-39,11-20
05196087,Male,Windport,22,1,20-29,00-03
05196612,Female,Windport,52,5,50-59,04-05
05196645,Female,Moonville,60,24,60-69,21-30
05201247,Female,Windport,35,20,30-39,11-20
05201259,Female,Windport,64,19,60-69,11-20
05201467,Female,Windport,29,5,20-29,04-05
05208835,Female,Windport,33,7,30-39,06-10
05209918,Female,Windport,31,1,30-39,00-03
05210010,Female,Stonehall,23,2,20-29,00-03
05210686,Female,Windport,32,7,30-39,06-10
05214681,Male,Windport,22,0,20-29,00-03
05214902,Female,Windport,55,11,50-59,11-20
05214979,Female,Silverstream,42,8,40-49,06-10
05215842,Female,Windport,36,2,30-39,00-03
05216737,Female,Windport,40,13,40-49,11-20
05219068,Female,Windport,50,32,50-59,31-40
05219455,Male,Windport,27,0,20-29,00-03
05223721,Female,Windport,60,42,60-69,41-50
05227315,Female,Windport,24,0,20-29,00-03
05228625,Female,Windport,59,17,50-59,11-20
05229977,Female,Windport,55,9,50-59,06-10
05230506,Male,Windport,25,2,20-29,00-03
05232704,Male,Windport,24,1,20-29,00-03
05233446,Female,Windport,53,13,50-59,11-20
05234317,Male,Starhaven,21,2,20-29,00-03
05235543,Female,Windport,53,19,50-59,11-20
05239086,Female,Windport,53,20,50-59,11-20
05239458,Male,Earthgate,53,14,50-59,11-20
05240432,Male,Windport,20,1,20-29,00-03
05248554,Female,Rainbowbay,46,3,40-49,00-03
05251023,Male,Moonville,25,2,20-29,00-03
05252328,Female,Windport,43,2,40-49,00-03
05253659,Female,Windport,29,1,20-29,00-03
05254513,Male,Windport,34,4,30-39,04-05
05258866,Female,Windport,47,12,40-49,11-20
05260802,Female,Windport,45,20,40-49,11-20
05261919,Male,Windport,18,0,20 below,00-03
05268953,Female,Windport,21,1,20-29,00-03
05270956,Female,Windport,62,20,60-69,11-20
05275738,Male,Windport,24,0,20-29,00-03
05276101,Female,Windport,23,2,20-29,00-03
05277360,Female,Windport,52,19,50-59,11-20
05277833,Female,Windport,43,9,40-49,06-10
05283541,Female,Windport,52,13,50-59,11-20
05284836,Male,Windport,21,1,20-29,00-03
05289514,Female,Flowerfield,29,0,20-29,00-03
05293099,Female,Windport,55,19,50-59,11-20
05293918,Male,Windport,21,0,20-29,00-03
05296271,Female,Moonville,30,5,30-39,04-05
05296831,Female,Windport,58,17,50-59,11-20
05298666,Male,Windport,35,17,30-39,11-20
05299059,Female,Windport,49,13,40-49,11-20
05299572,Female,Windport,51,14,50-59,11-20
05303515,Male,Earthgate,62,13,60-69,11-20
05305000,Male,Windport,29,2,20-29,00-03
05307886,Female,Windport,18,1,20 below,00-03
05311843,Female,Silverstream,37,1,30-39,00-03
05321786,Female,Windport,61,20,60-69,11-20
05322814,Male,Goldengrove,25,4,20-29,04-05
05324033,Male,Windport,46,11,40-49,11-20
05324091,Female,Windport,50,17,50-59,11-20
05324684,Female,Windport,58,22,50-59,21-30
05325981,Male,Moonville,34,6,30-39,06-10
05327043,Female,Windport,46,13,40-49,11-20
05327446,Female,Windport,22,1,20-29,00-03
05331330,Male,Windport,63,20,60-69,11-20
05332807,Female,Stonehall,41,3,40-49,00-03
05338033,Female,Windport,62,20,60-69,11-20
05338580,Female,Windport,50,2,50-59,00-03
05338907,Male,Windport,51,0,50-59,00-03
05339203,Female,Windport,25,1,20-29,00-03
05341744,Male,Windport,29,12,20-29,11-20
05342661,Male,Windport,53,20,50-59,11-20
05342849,Female,Windport,25,3,20-29,00-03
05343779,Male,Searock,39,12,30-39,11-20
05346022,Female,Windport,47,3,40-49,00-03
05346586,Male,Windport,25,0,20-29,00-03
05349621,Male,Windport,22,0,20-29,00-03
05351764,Male,Windport,29,3,20-29,00-03
05352941,Female,Windport,58,20,50-59,11-20
05352956,Female,Windport,39,18,30-39,11-20
05358729,Male,Silverstream,34,10,30-39,06-10
05366546,Male,Windport,39,4,30-39,04-05
05371750,Male,Windport,34,12,30-39,11-20
05373619,Male,Windport,32,15,30-39,11-20
05382208,Male,Windport,25,1,20-29,00-03
05382391,Male,Windport,28,4,20-29,04-05
05382902,Female,Timbertown,23,1,20-29,00-03
05387528,Male,Windport,25,3,20-29,00-03
05387570,Female,Windport,62,10,60-69,06-10
05389144,Male,Windport,45,20,40-49,11-20
05390442,Male,Windport,25,2,20-29,00-03
05394043,Male,Windport,23,2,20-29,00-03
05395305,Male,Windport,27,1,20-29,00-03
05396352,Female,Goldengrove,22,0,20-29,00-03
05396750,Female,Earthgate,61,14,60-69,11-20
05399077,Female,Sunland,28,1,20-29,00-03
05399189,Male,Starhaven,36,4,30-39,04-05
05399693,Female,Sunland,33,1,30-39,00-03
05402501,Female,Windport,19,0,20 below,00-03
05403788,Female,Skyloft,27,1,20-29,00-03
05404389,Female,Windport,56,14,50-59,11-20
05405425,Female,Windport,20,0,20-29,00-03
05407676,Male,Windport,27,1,20-29,00-03
05411597,Male,Windport,29,4,20-29,04-05
05411647,Female,Windport,49,20,40-49,11-20
05413727,Female,Windport,53,12,50-59,11-20
05416221,Female,Windport,27,0,20-29,00-03
05417733,Male,Windport,43,5,40-49,04-05
05417998,Male,Windport,25,1,20-29,00-03
05419416,Female,Windport,51,33,50-59,31-40
05419786,Male,Windport,21,3,20-29,00-03
05421383,Female,Rainbowbay,51,20,50-59,11-20
05424190,Female,Meadowmere,61,28,60-69,21-30
05424236,Female,Frostlands,24,5,20-29,04-05
05424853,Female,Windport,29,3,20-29,00-03
05425786,Male,Windport,27,2,20-29,00-03
05428117,Female,Firefort,57,20,50-59,11-20
05434979,Female,Windport,60,20,60-69,11-20
05435691,Female,Windport,54,30,50-59,21-30
05439742,Female,Windport,34,0,30-39,00-03
05441613,Male,Windport,47,30,40-49,21-30
05442251,Female,Windport,29,7,20-29,06-10
05442380,Female,Windport,49,12,40-49,11-20
05442664,Female,Windport,26,6,20-29,06-10
05443928,Male,Windport,48,3,40-49,00-03
05445338,Female,Windport,38,13,30-39,11-20
05445737,Female,Windport,26,7,20-29,06-10
05451597,Female,Waterway,59,11,50-59,11-20
05455009,Female,Windport,28,0,20-29,00-03
05459340,Female,Windport,54,37,50-59,31-40
05459415,Male,Windport,59,1,50-59,00-03
05461142,Female,Windport,48,20,40-49,11-20
05462528,Female,Windport,49,20,40-49,11-20
05463228,Female,Starhaven,52,24,50-59,21-30
05463710,Male,Windport,20,1,20-29,00-03
05468197,Female,Windport,52,5,50-59,04-05
05474733,Female,Windport,39,1,30-39,00-03
05478035,Female,Windport,31,3,30-39,00-03
05482760,Male,Windport,20,2,20-29,00-03
05483236,Male,Windport,29,8,20-29,06-10
05485221,Female,Windport,54,15,50-59,11-20
05485458,Female,Windport,57,16,50-59,11-20
05487164,Male,Searock,32,1,30-39,00-03
05493683,Female,Windport,21,1,20-29,00-03
05493857,Female,Windport,52,23,50-59,21-30
05495936,Female,Windport,47,21,40-49,21-30
05495968,Female,Windport,50,19,50-59,11-20
05498437,Male,Starhaven,48,19,40-49,11-20
05499953,Male,Windport,36,8,30-39,06-10
05501585,Male,Windport,18,1,20 below,00-03
05502272,Female,Meadowmere,59,17,50-59,11-20
05503401,Female,Waterway,48,13,40-49,11-20
05505843,Male,Windport,24,2,20-29,00-03
05509569,Male,Windport,26,0,20-29,00-03
05514951,Female,Windport,55,29,50-59,21-30
05517635,Male,Windport,23,1,20-29,00-03
05518619,Female,Windport,47,15,40-49,11-20
05518676,Female,Windport,27,0,20-29,00-03
05520629,Female,Windport,62,20,60-69,11-20
05522320,Female,Searock,31,1,30-39,00-03
05522642,Male,Windport,37,4,30-39,04-05
05531027,Female,Goldengrove,45,22,40-49,21-30
05536344,Female,Windport,55,13,50-59,11-20
05539227,Male,Windport,54,20,50-59,11-20
05539757,Female,Windport,57,35,50-59,31-40
05543305,Female,Windport,29,5,20-29,04-05
05543950,Female,Windport,43,1,40-49,00-03
05544709,Female,Windport,38,1,30-39,00-03
05545319,Female,Windport,23,1,20-29,00-03
05547587,Male,Windport,22,1,20-29,00-03
05548513,Female,Windport,49,12,40-49,11-20
05552527,Male,Windport,27,5,20-29,04-05
05559067,Male,Waterway,35,4,30-39,04-05
05560924,Male,Windport,51,20,50-59,11-20
05564451,Male,Windport,27,3,20-29,00-03
05564925,Male,Skyloft,31,1,30-39,00-03
05568428,Female,Windport,18,0,20 below,00-03
05572636,Female,Windport,24,3,20-29,00-03
05573599,Male,Windport,56,20,50-59,11-20
05574614,Female,Windport,60,23,60-69,21-30
05574924,Female,Windport,26,8,20-29,06-10
05575225,Female,Windport,32,1,30-39,00-03
05576476,Female,Windport,26,1,20-29,00-03
05579977,Male,Windport,22,4,20-29,04-05
05580364,Male,Windport,20,1,20-29,00-03
05584941,Female,Windport,48,20,40-49,11-20
05585003,Female,Windport,58,42,50-59,41-50
05586415,Female,Windport,21,0,20-29,00-03
05587088,Female,Windport,62,14,60-69,11-20
05587364,Male,Windport,40,2,40-49,00-03
05592670,Male,Windport,30,3,30-39,00-03
05595236,Female,Windport,27,7,20-29,06-10
05597984,Female,Windport,24,1,20-29,00-03
05604330,Male,Skyloft,31,1,30-39,00-03
05606541,Female,Windport,57,21,50-59,21-30
05607012,Male,Windport,62,20,60-69,11-20
05607529,Female,Windport,57,20,50-59,11-20
05608877,Male,Windport,52,21,50-59,21-30
05609476,Female,Silverstream,24,3,20-29,00-03
05611846,Female,Windport,59,26,50-59,21-30
05612461,Female,Windport,41,5,40-49,04-05
05613966,Female,Searock,32,11,30-39,11-20
05616440,Female,Windport,34,1,30-39,00-03
05618326,Male,Flowerfield,39,3,30-39,00-03
05618679,Male,Windport,51,5,50-59,04-05
05621503,Female,Windport,26,0,20-29,00-03
05621984,Female,Windport,57,17,50-59,11-20
05622244,Female,Windport,58,20,50-59,11-20
05622487,Male,Windport,30,1,30-39,00-03
05626247,Female,Windport,59,20,50-59,11-20
05633130,Male,Windport,28,1,20-29,00-03
05636866,Female,Rainbowbay,61,22,60-69,21-30
05637269,Male,Windport,19,1,20 below,00-03
05637391,Male,Windport,25,3,20-29,00-03
05638026,Female,Windport,57,13,50-59,11-20
05638576,Male,Windport,27,0,20-29,00-03
05639654,Female,Timbertown,52,23,50-59,21-30
05643690,Male,Windport,38,1,30-39,00-03
05643994,Male,Windport,21,2,20-29,00-03
05645803,Male,Timbertown,30,2,30-39,00-03
05646905,Male,Windport,65,42,60-69,41-50
05649642,Male,Windport,18,1,20 below,00-03
05651159,Female,Windport,25,5,20-29,04-05
05651277,Female,Windport,53,16,50-59,11-20
05652643,Male,Windport,30,0,30-39,00-03
05652775,Female,Windport,31,6,30-39,06-10
05653738,Male,Windport,35,14,30-39,11-20
05655226,Female,Windport,60,20,60-69,11-20
05657057,Female,Windport,41,19,40-49,11-20
05658193,Female,Starhaven,23,2,20-29,00-03
05666500,Female,Windport,25,3,20-29,00-03
05667157,Female,Windport,48,31,40-49,31-40
05669351,Female,Windport,26,5,20-29,04-05
05671873,Female,Windport,30,3,30-39,00-03
05673028,Male,Rainbowbay,60,30,60-69,21-30
05673067,Female,Stonehall,37,11,30-39,11-20
05674230,Female,Windport,55,20,50-59,11-20
05674738,Female,Windport,63,20,60-69,11-20
05675951,Female,Windport,21,0,20-29,00-03
05676582,Female,Windport,18,1,20 below,00-03
05677363,Male,Windport,51,20,50-59,11-20
05678637,Female,Windport,34,11,30-39,11-20
05682780,Male,Windport,42,3,40-49,00-03
05686733,Female,Windport,50,19,50-59,11-20
05689869,Male,Goldengrove,29,3,20-29,00-03
05689904,Female,Windport,59,20,50-59,11-20
05691522,Female,Windport,27,1,20-29,00-03
05691889,Female,Stonehall,37,2,30-39,00-03
05692292,Female,Windport,57,20,50-59,11-20
05694083,Male,Windport,22,1,20-29,00-03
05695052,Male,Windport,20,1,20-29,00-03
05696549,Female,Windport,29,3,20-29,00-03
05697392,Female,Windport,25,5,20-29,04-05
05700986,Female,Silverstream,23,1,20-29,00-03
05703851,Female,Windport,62,22,60-69,21-30
05704335,Male,Windport,58,6,50-59,06-10
05706623,Female,Sunland,29,2,20-29,00-03
05707074,Female,Windport,46,20,40-49,11-20
05711107,Female,Windport,37,2,30-39,00-03
05712015,Female,Earthgate,21,0,20-29,00-03
05712050,Female,Windport,20,0,20-29,00-03
05713467,Male,Stonehall,37,6,30-39,06-10
05714048,Female,Windport,52,20,50-59,11-20
05715389,Male,Windport,61,20,60-69,11-20
05717761,Male,Windport,39,3,30-39,00-03
05718731,Male,Windport,28,9,20-29,06-10
05722807,Male,Timbertown,39,3,30-39,00-03
05723589,Female,Windport,43,9,40-49,06-10
05725626,Female,Rainbowbay,58,20,50-59,11-20
05725899,Female,Windport,57,20,50-59,11-20
05728062,Female,Flowerfield,31,3,30-39,00-03
05731266,Female,Skyloft,34,14,30-39,11-20
05732882,Male,Windport,45,17,40-49,11-20
05733791,Female,Windport,20,1,20-29,00-03
05737414,Female,Windport,51,17,50-59,11-20
05739111,Male,Windport,37,17,30-39,11-20
05739885,Female,Windport,59,20,50-59,11-20
05740339,Male,Windport,22,1,20-29,00-03
05741602,Female,Meadowmere,26,2,20-29,00-03
05742894,Female,Frostlands,41,4,40-49,04-05
05744553,Male,Windport,26,1,20-29,00-03
05745153,Female,Windport,52,20,50-59,11-20
05745379,Female,Windport,55,17,50-59,11-20
05746525,Female,Firefort,33,13,30-39,11-20
05754826,Female,Windport,51,14,50-59,11-20
05755527,Male,Windport,28,1,20-29,00-03
05761147,Male,Windport,19,1,20 below,00-03
05761652,Male,Windport,25,1,20-29,00-03
05767078,Female,Windport,53,11,50-59,11-20
05769429,Female,Windport,63,16,60-69,11-20
05770839,Female,Windport,25,5,20-29,04-05
05771604,Female,Windport,60,7,60-69,06-10
05773378,Female,Windport,55,13,50-59,11-20
05773511,Female,Windport,36,5,30-39,04-05
05773726,Female,Windport,56,20,50-59,11-20
05778304,Female,Windport,28,0,20-29,00-03
05778840,Male,Windport,22,3,20-29,00-03
05779550,Female,Windport,19,1,20 below,00-03
05780861,Female,Windport,48,13,40-49,11-20
05783562,Male,Windport,35,11,30-39,11-20
05784849,Male,Windport,26,2,20-29,00-03
05787816,Female,Windport,41,12,40-49,11-20
05789155,Female,Waterway,55,19,50-59,11-20
05790920,Female,Windport,55,12,50-59,11-20
05791872,Female,Frostlands,41,5,40-49,04-05
05793940,Female,Windport,58,19,50-59,11-20
05794336,Female,Windport,50,20,50-59,11-20
05795223,Male,Windport,52,20,50-59,11-20
05795533,Female,Windport,25,1,20-29,00-03
05798442,Female,Windport,19,1,20 below,00-03
05798546,Female,Windport,36,1,30-39,00-03
05802234,Male,Windport,20,0,20-29,00-03
05807638,Female,Windport,24,1,20-29,00-03
05808648,Female,Searock,24,1,20-29,00-03
05811209,Female,Sunland,35,17,30-39,11-20
05811943,Female,Windport,32,5,30-39,04-05
05818583,Female,Silverstream,56,1,50-59,00-03
05818633,Male,Windport,19,1,20 below,00-03
05819312,Male,Windport,35,1,30-39,00-03
05822014,Male,Frostlands,25,5,20-29,04-05
05832047,Female,Firefort,30,1,30-39,00-03
05836694,Female,Windport,26,2,20-29,00-03
05838230,Female,Earthgate,37,14,30-39,11-20
05840979,Male,Windport,20,1,20-29,00-03
05846476,Female,Windport,51,11,50-59,11-20
05849641,Male,Windport,44,3,40-49,00-03
05850058,Female,Windport,42,10,40-49,06-10
05850304,Female,Windport,26,1,20-29,00-03
05853378,Female,Windport,48,9,40-49,06-10
05856793,Male,Windport,19,1,20 below,00-03
05857799,Male,Windport,29,6,20-29,06-10
05863363,Female,Windport,19,1,20 below,00-03
05864095,Female,Windport,53,16,50-59,11-20
05864284,Male,Windport,64,20,60-69,11-20
05865718,Female,Firefort,35,12,30-39,11-20
05866188,Female,Windport,50,23,50-59,21-30
05870106,Female,Windport,52,20,50-59,11-20
05876638,Female,Waterway,32,1,30-39,00-03
05876831,Female,Windport,56,13,50-59,11-20
05882257,Female,Windport,50,18,50-59,11-20
05885098,Female,Windport,58,21,50-59,21-30
05889239,Female,Windport,65,13,60-69,11-20
05889649,Male,Flowerfield,56,16,50-59,11-20
05890478,Female,Starhaven,33,16,30-39,11-20
05891532,Female,Windport,55,19,50-59,11-20
05893083,Male,Windport,20,1,20-29,00-03
05895615,Male,Sunland,55,18,50-59,11-20
05897607,Male,Windport,58,42,50-59,41-50
05898972,Female,Windport,46,16,40-49,11-20
05901600,Female,Moonville,59,33,50-59,31-40
05903370,Female,Windport,52,26,50-59,21-30
05907157,Female,Windport,29,7,20-29,06-10
05914318,Female,Windport,28,4,20-29,04-05
05916268,Female,Windport,21,1,20-29,00-03
05916397,Male,Windport,23,3,20-29,00-03
05918631,Female,Windport,50,21,50-59,21-30
05918685,Male,Meadowmere,45,18,40-49,11-20
05921822,Male,Windport,34,2,30-39,00-03
05924285,Female,Windport,20,3,20-29,00-03
05926288,Male,Searock,26,2,20-29,00-03
05928381,Male,Windport,23,1,20-29,00-03
05933091,Female,Windport,34,7,30-39,06-10
05936518,Female,Windport,23,3,20-29,00-03
05940090,Female,Meadowmere,24,1,20-29,00-03
05942036,Female,Searock,37,3,30-39,00-03
05943974,Female,Windport,45,18,40-49,11-20
05944255,Female,Windport,38,13,30-39,11-20
05944398,Male,Windport,54,20,50-59,11-20
05945011,Male,Windport,19,1,20 below,00-03
05948121,Female,Windport,33,7,30-39,06-10
05948772,Male,Windport,22,1,20-29,00-03
05949063,Female,Windport,58,20,50-59,11-20
05949118,Female,Windport,44,21,40-49,21-30
05950269,Male,Windport,25,2,20-29,00-03
05951330,Male,Windport,19,1,20 below,00-03
05953118,Male,Windport,24,5,20-29,04-05
05955592,Male,Windport,34,13,30-39,11-20
05956537,Male,Windport,23,1,20-29,00-03
05957211,Female,Starhaven,35,2,30-39,00-03
05959259,Female,Windport,24,4,20-29,04-05
05959996,Male,Windport,51,19,50-59,11-20
05968844,Male,Windport,32,7,30-39,06-10
05969066,Female,Starhaven,64,20,60-69,11-20
05971168,Male,Firefort,34,12,30-39,11-20
05972540,Female,Windport,21,1,20-29,00-03
05977805,Female,Windport,57,15,50-59,11-20
05983807,Male,Windport,24,3,20-29,00-03
05985917,Female,Windport,19,1,20 below,00-03
05990766,Male,Windport,21,3,20-29,00-03
05991344,Female,Frostlands,50,4,50-59,04-05
05994400,Female,Windport,20,2,20-29,00-03
05995755,Female,Windport,29,7,20-29,06-10
05999091,Female,Waterway,25,4,20-29,04-05
05999463,Male,Windport,62,13,60-69,11-20
05999553,Male,Windport,20,1,20-29,00-03
05301906,Male,Windport,37,12,30-39,11-20
